,vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,mileage,time_diff
7207,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:22,0,8963,2.0
7208,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:24,0,8963,1.0
7209,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:25,0,8963,1.0
7210,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:26,0,8963,1.0
7211,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:27,0,8963,2.0
7212,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:29,0,8963,1.0
7213,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:30,0,8963,1.0
7214,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:31,0,8963,2.0
7215,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:33,0,8963,1.0
7216,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:34,0,8963,1.0
7217,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:35,0,8963,1.0
7218,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:36,0,8963,1.0
7219,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:37,0,8963,1.0
7220,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:38,0,8963,1.0
7221,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:39,0,8963,1.0
7222,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:40,0,8963,1.0
7223,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:41,0,8963,1.0
7224,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:42,0,8963,1.0
7225,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:43,0,8963,1.0
7226,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:44,0,8963,1.0
7227,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:45,0,8963,1.0
7228,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:46,0,8963,1.0
7229,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:47,0,8963,1.0
7230,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:48,0,8963,1.0
7231,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:49,0,8963,1.0
7232,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:50,0,8963,1.0
7233,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:51,0,8963,1.0
7234,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:52,0,8963,1.0
7235,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:53,0,8963,1.0
7236,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:54,0,8963,1.0
7237,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:55,0,8963,1.0
7238,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:56,0,8963,1.0
7239,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:57,0,8963,1.0
7240,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:58,0,8963,1.0
7241,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:25:59,0,8963,1.0
7242,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:00,0,8963,1.0
7243,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:01,0,8963,1.0
7244,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:02,0,8963,1.0
7245,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:03,0,8963,1.0
7246,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:04,0,8963,1.0
7247,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:05,0,8963,1.0
7248,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:06,0,8963,1.0
7249,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:07,0,8963,1.0
7250,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:08,0,8963,1.0
7251,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:09,0,8963,1.0
7252,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:10,0,8963,1.0
7253,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:11,0,8963,1.0
7254,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:12,0,8963,1.0
7255,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:13,0,8963,1.0
7256,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:14,0,8963,1.0
7257,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:15,0,8963,1.0
7258,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:16,0,8963,1.0
7259,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:17,0,8963,1.0
7260,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:18,0,8963,1.0
7261,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:19,0,8963,1.0
7262,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:20,0,8963,1.0
7263,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:21,0,8963,1.0
7264,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:22,0,8963,1.0
7265,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:23,0,8963,1.0
7266,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:24,0,8963,1.0
7267,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:25,0,8963,1.0
7268,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:26,0,8963,1.0
7269,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:27,0,8963,1.0
7270,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:28,0,8963,1.0
7271,AA00002,AAA9101002,12,115.911878,28.669691,1,0,0,0,0,2018-08-05 07:26:29,0,8963,1.0
