,vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,mileage,time_diff
50069,AB00006,AAA7109006,247,115.76349,24.985683,1,0,0,0,0,2018-08-04 23:20:01,20,5292,1.0
50070,AB00006,AAA7109006,243,115.76344,24.985666,1,0,0,0,0,2018-08-04 23:20:02,20,5292,1.0
50071,AB00006,AAA7109006,233,115.763395,24.98564,1,0,0,0,0,2018-08-04 23:20:03,20,5292,1.0
50072,AB00006,AAA7109006,223,115.763353,24.985601000000006,1,0,0,0,0,2018-08-04 23:20:04,20,5292,1.0
50073,AB00006,AAA7109006,187,115.763338,24.985558,1,0,0,0,0,2018-08-04 23:20:05,19,5292,1.0
50074,AB00006,AAA7109006,196,115.763321,24.98551,1,0,0,0,0,2018-08-04 23:20:06,21,5292,1.0
50075,AB00006,AAA7109006,193,115.763305,24.98545,1,0,0,0,0,2018-08-04 23:20:07,22,5292,1.0
50076,AB00006,AAA7109006,193,115.763305,24.98545,1,0,0,0,0,2018-08-04 23:20:08,22,5292,1.0
50077,AB00006,AAA7109006,183,115.763293,24.985325,1,0,0,0,0,2018-08-04 23:20:09,26,5292,1.0
50078,AB00006,AAA7109006,182,115.763291,24.98526,1,0,0,0,0,2018-08-04 23:20:10,26,5292,1.0
50079,AB00006,AAA7109006,182,115.76328999999998,24.98519,1,0,0,0,0,2018-08-04 23:20:11,27,5292,1.0
50080,AB00006,AAA7109006,184,115.763283,24.985123,1,0,0,0,0,2018-08-04 23:20:12,26,5292,1189.0
50081,AB00006,AAA7109006,314,115.69378799999998,24.9674,1,0,0,0,0,2018-08-04 23:40:01,49,5304,1.0
50082,AB00006,AAA7109006,312,115.693691,24.96748,1,0,0,0,0,2018-08-04 23:40:02,49,5304,1.0
50083,AB00006,AAA7109006,312,115.693691,24.96748,1,0,0,0,0,2018-08-04 23:40:03,49,5304,1.0
50084,AB00006,AAA7109006,307,115.693503,24.96762,1,0,0,0,0,2018-08-04 23:40:04,44,5304,1.0
