,vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,mileage,time_diff
0,AD00003,AAA7109003,265,114.984793,27.445336,1,0,0,0,0,2018-08-05 06:36:46,69,5629,0.0
1,AD00003,AAA7109003,265,114.984793,27.445336,1,0,0,0,0,2018-08-05 06:36:46,69,5629,2.0
2,AD00003,AAA7109003,264,114.984598,27.445318,1,0,0,0,0,2018-08-05 06:36:48,70,5629,0.0
3,AD00003,AAA7109003,264,114.984598,27.445318,1,0,0,0,0,2018-08-05 06:36:48,70,5629,1.0
4,AD00003,AAA7109003,264,114.984401,27.445301,1,0,0,0,0,2018-08-05 06:36:49,70,5629,0.0
5,AD00003,AAA7109003,264,114.984401,27.445301,1,0,0,0,0,2018-08-05 06:36:49,70,5629,1.0
6,AD00003,AAA7109003,265,114.984205,27.445283,1,0,0,0,0,2018-08-05 06:36:50,70,5629,0.0
7,AD00003,AAA7109003,265,114.984205,27.445283,1,0,0,0,0,2018-08-05 06:36:50,70,5629,1.0
8,AD00003,AAA7109003,265,114.984005,27.445265000000006,1,0,0,0,0,2018-08-05 06:36:51,70,5629,0.0
9,AD00003,AAA7109003,265,114.984005,27.445265000000006,1,0,0,0,0,2018-08-05 06:36:51,70,5629,1.0
10,AD00003,AAA7109003,265,114.983808,27.44525,1,0,0,0,0,2018-08-05 06:36:52,70,5629,0.0
11,AD00003,AAA7109003,265,114.983808,27.44525,1,0,0,0,0,2018-08-05 06:36:52,70,5629,1.0
12,AD00003,AAA7109003,265,114.983611,27.445235,1,0,0,0,0,2018-08-05 06:36:53,71,5629,0.0
13,AD00003,AAA7109003,265,114.983611,27.445235,1,0,0,0,0,2018-08-05 06:36:53,71,5629,1.0
14,AD00003,AAA7109003,264,114.983411,27.445218,1,0,0,0,0,2018-08-05 06:36:54,71,5629,0.0
15,AD00003,AAA7109003,264,114.983411,27.445218,1,0,0,0,0,2018-08-05 06:36:54,71,5629,1.0
16,AD00003,AAA7109003,264,114.983211,27.4452,1,0,0,0,0,2018-08-05 06:36:55,72,5629,0.0
17,AD00003,AAA7109003,264,114.983211,27.4452,1,0,0,0,0,2018-08-05 06:36:55,72,5629,1.0
18,AD00003,AAA7109003,264,114.98301,27.445181,1,0,0,0,0,2018-08-05 06:36:56,72,5629,0.0
19,AD00003,AAA7109003,264,114.98301,27.445181,1,0,0,0,0,2018-08-05 06:36:56,72,5629,1.0
20,AD00003,AAA7109003,264,114.982808,27.445163,1,0,0,0,0,2018-08-05 06:36:57,72,5629,0.0
21,AD00003,AAA7109003,264,114.982808,27.445163,1,0,0,0,0,2018-08-05 06:36:57,72,5629,1.0
22,AD00003,AAA7109003,263,114.982608,27.445145,1,0,0,0,0,2018-08-05 06:36:58,72,5629,0.0
23,AD00003,AAA7109003,263,114.982608,27.445145,1,0,0,0,0,2018-08-05 06:36:58,72,5629,1.0
24,AD00003,AAA7109003,263,114.982408,27.445125,1,0,0,0,0,2018-08-05 06:36:59,72,5629,0.0
25,AD00003,AAA7109003,263,114.982408,27.445125,1,0,0,0,0,2018-08-05 06:36:59,72,5629,1.0
26,AD00003,AAA7109003,263,114.982211,27.445105,1,0,0,0,0,2018-08-05 06:37:00,71,5629,0.0
27,AD00003,AAA7109003,263,114.982211,27.445105,1,0,0,0,0,2018-08-05 06:37:00,71,5629,1.0
28,AD00003,AAA7109003,263,114.982018,27.445085,1,0,0,0,0,2018-08-05 06:37:01,70,5629,0.0
29,AD00003,AAA7109003,263,114.982018,27.445085,1,0,0,0,0,2018-08-05 06:37:01,70,5629,1.0
30,AD00003,AAA7109003,262,114.981823,27.445063,1,0,0,0,0,2018-08-05 06:37:02,70,5629,0.0
31,AD00003,AAA7109003,262,114.981823,27.445063,1,0,0,0,0,2018-08-05 06:37:02,70,5629,1.0
32,AD00003,AAA7109003,262,114.981628,27.445041,1,0,0,0,0,2018-08-05 06:37:03,69,5629,0.0
33,AD00003,AAA7109003,262,114.981628,27.445041,1,0,0,0,0,2018-08-05 06:37:03,69,5629,1.0
34,AD00003,AAA7109003,262,114.981435,27.445018,1,0,0,0,0,2018-08-05 06:37:04,69,5629,0.0
35,AD00003,AAA7109003,262,114.981435,27.445018,1,0,0,0,0,2018-08-05 06:37:04,69,5629,1.0
36,AD00003,AAA7109003,262,114.981245,27.444993,1,0,0,0,0,2018-08-05 06:37:05,68,5629,0.0
37,AD00003,AAA7109003,262,114.981245,27.444993,1,0,0,0,0,2018-08-05 06:37:05,68,5629,1.0
38,AD00003,AAA7109003,262,114.981056,27.44497,1,0,0,0,0,2018-08-05 06:37:06,67,5629,0.0
39,AD00003,AAA7109003,262,114.981056,27.44497,1,0,0,0,0,2018-08-05 06:37:06,67,5629,1.0
40,AD00003,AAA7109003,263,114.980871,27.444948,1,0,0,0,0,2018-08-05 06:37:07,67,5629,0.0
41,AD00003,AAA7109003,263,114.980871,27.444948,1,0,0,0,0,2018-08-05 06:37:07,67,5629,1.0
42,AD00003,AAA7109003,263,114.980686,27.44493,1,0,0,0,0,2018-08-05 06:37:08,67,5629,0.0
43,AD00003,AAA7109003,263,114.980686,27.44493,1,0,0,0,0,2018-08-05 06:37:08,67,5629,1.0
44,AD00003,AAA7109003,264,114.9805,27.444913,1,0,0,0,0,2018-08-05 06:37:09,67,5629,0.0
45,AD00003,AAA7109003,264,114.9805,27.444913,1,0,0,0,0,2018-08-05 06:37:09,67,5629,1.0
46,AD00003,AAA7109003,264,114.980315,27.4449,1,0,0,0,0,2018-08-05 06:37:10,67,5629,0.0
