,vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,mileage,time_diff
80240,AF00098,AAA9101098,349,115.835418,27.38231,1,0,0,0,0,2018-09-12 02:40:01,10,13642,1.0
80241,AF00098,AAA9101098,349,115.835418,27.38231,1,0,0,0,0,2018-09-12 02:40:02,10,13642,1.0
80242,AF00098,AAA9101098,346,115.83541,27.38239,1,0,0,0,0,2018-09-12 02:40:03,15,13642,1.0
80243,AF00098,AAA9101098,347,115.835398,27.382435,1,0,0,0,0,2018-09-12 02:40:04,18,13642,1.0
80244,AF00098,AAA9101098,347,115.835381,27.382486,1,0,0,0,0,2018-09-12 02:40:05,21,13642,1.0
80245,AF00098,AAA9101098,347,115.835381,27.382486,1,0,0,0,0,2018-09-12 02:40:06,21,13642,1.0
80246,AF00098,AAA9101098,347,115.83535,27.382598,1,0,0,0,0,2018-09-12 02:40:07,23,13642,1.0
80247,AF00098,AAA9101098,347,115.835335,27.382655,1,0,0,0,0,2018-09-12 02:40:08,22,13642,1.0
80248,AF00098,AAA9101098,347,115.835335,27.382655,1,0,0,0,0,2018-09-12 02:40:09,22,13642,1.0
80249,AF00098,AAA9101098,346,115.835318,27.38271,1,0,0,0,0,2018-09-12 02:40:10,22,13642,1.0
80250,AF00098,AAA9101098,346,115.835293,27.382828000000003,1,0,0,0,0,2018-09-12 02:40:11,25,13642,1.0
80251,AF00098,AAA9101098,346,115.835293,27.382828000000003,1,0,0,0,0,2018-09-12 02:40:12,25,13642,1.0
80252,AF00098,AAA9101098,346,115.835278,27.382891,1,0,0,0,0,2018-09-12 02:40:13,26,13642,1.0
80253,AF00098,AAA9101098,346,115.83526,27.382958,1,0,0,0,0,2018-09-12 02:40:14,27,13642,1.0
80254,AF00098,AAA9101098,346,115.83523999999998,27.383025,1,0,0,0,0,2018-09-12 02:40:15,28,13642,1.0
80255,AF00098,AAA9101098,345,115.835198,27.383165,1,0,0,0,0,2018-09-12 02:40:16,29,13642,1.0
80256,AF00098,AAA9101098,345,115.835198,27.383165,1,0,0,0,0,2018-09-12 02:40:17,29,13642,1.0
80257,AF00098,AAA9101098,345,115.835156,27.38331,1,0,0,0,0,2018-09-12 02:40:18,29,13642,1.0
80258,AF00098,AAA9101098,345,115.835135,27.383383,1,0,0,0,0,2018-09-12 02:40:19,31,13642,1.0
80259,AF00098,AAA9101098,347,115.835113,27.383461,1,0,0,0,0,2018-09-12 02:40:20,33,13642,1.0
80260,AF00098,AAA9101098,348,115.835091,27.383545,1,0,0,0,0,2018-09-12 02:40:21,35,13642,1.0
80261,AF00098,AAA9101098,347,115.835068,27.383635,1,0,0,0,0,2018-09-12 02:40:22,37,13642,1.0
80262,AF00098,AAA9101098,347,115.835068,27.383635,1,0,0,0,0,2018-09-12 02:40:23,37,13642,1.0
